id,all_col_names,cat_col_names,description,end_date,num_categorical,num_columns,num_spatial,num_temporal,size,spatial_col_names,start_date,temporal_col_names,title,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,title_x,title_y,description_x,description_y,title_and_description_x,title_and_description_y,column_name_x,column_name_y
10,"vendorid, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, ratecodeid, pulocationid, dolocationid, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type",store_and_fwd_flag,"This dataset includes trip records from all trips completed in green taxis in NYC in 2017. Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP). The trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,1,19,0,2,1108721427,,1/1/19,"lpep_pickup_datetime, lpep_dropoff_datetime",2017 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73843074,0.512224099,0.478400836,0.486307322,0.457664349,0.517982736,-0.129087814,-0.168676095
11,"vendorid, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, ratecodeid, pulocationid, dolocationid, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge",store_and_fwd_flag,"These records are generated from the trip record submissions made by green taxi Technology Service Providers (TSPs). Each row represents a single trip in a green taxi in 2020.  The trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts.",5/1/23,1,20,0,2,165714905,,1/1/19,"lpep_pickup_datetime, lpep_dropoff_datetime",2020 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491893325,0.353265276,0.521961749,0.520365554,0.468165725,0.556768044,-0.129088081,-0.168677023
12,"vendorid, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, ratecodeid, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type_, pulocationid, dolocationid",store_and_fwd_flag,"This dataset includes trip records from all trips completed in green taxis in NYC in 2016. Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP). The trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,1,23,4,2,2229139706,"pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude",1/1/19,"lpep_pickup_datetime, lpep_dropoff_datetime",2016 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437541161,0.402009158,0.49461927,0.486719386,0.462760706,0.476024795,-0.124924615,-0.169821122
13,"vendorid, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, ratecodeid, pulocationid, dolocationid, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type",store_and_fwd_flag,"The yellow and green taxi trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab & Livery Passenger Enhancement Programs (TPEP/LPEP). The trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.
For more information please refer to http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml",5/1/23,1,19,0,2,831555081,,1/1/19,"lpep_pickup_datetime, lpep_dropoff_datetime",2018 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424397941,0.561078259,0.522734273,0.145462237,0.428965825,0.550559954,-0.129087814,-0.168676095
14,"vendorid, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, ratecodeid, store_and_fwd_flag, pulocationid, dolocationid, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge",store_and_fwd_flag,"These records are generated from the trip record submissions made by yellow taxi Technology Service Providers (TSPs). Each row represents a single trip in a yellow taxi in 2020.  The trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts.",5/1/23,1,18,0,2,2394264201,,1/1/19,"tpep_pickup_datetime, tpep_dropoff_datetime",2020 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608712456,0.413698695,0.488272997,0.452417863,0.405023037,0.591538644,-0.125111939,-0.167654508
15,"vendorid, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, ratecodeid, store_and_fwd_flag, pulocationid, dolocationid, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge",store_and_fwd_flag,"These records are generated from the trip record submissions made by yellow taxi Technology Service Providers (TSPs). Each row represents a single trip in a yellow taxi in 2021. The trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts.",5/1/23,1,18,0,2,3008826606,,1/1/19,"tpep_pickup_datetime, tpep_dropoff_datetime",2021 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386833342,0.385320842,0.502349923,0.509267779,0.441432038,0.526764158,-0.125111939,-0.167654508
16,"vendorid, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, ratecodeid, store_and_fwd_flag, pulocationid, dolocationid, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount",store_and_fwd_flag,"This dataset includes trip records from all trips completed in yellow taxis from in NYC during 2017. Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab Passenger Enhancement Program (TPEP). The trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,1,17,0,2,7623434311,,1/1/19,"tpep_pickup_datetime, tpep_dropoff_datetime",2017 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363258605,0.400872098,0.488283787,0.443694663,0.302775617,0.590168598,-0.125112614,-0.16765497
17,"vendorid, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, ratecodeid, store_and_fwd_flag, pulocationid, dolocationid, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount",store_and_fwd_flag,"The yellow and green taxi trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab & Livery Passenger Enhancement Programs (TPEP/LPEP). The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.
For more information please refer to http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml",5/1/23,1,17,0,2,9087524935,,1/1/19,"tpep_pickup_datetime, tpep_dropoff_datetime",2018 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409515051,0.643932663,0.514513076,0.161784885,0.475192427,0.572618848,-0.125112614,-0.16765497
18,"vendorid, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, ratecodeid, pulocationid, dolocationid, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge",store_and_fwd_flag,"The yellow and green taxi trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab & Livery Passenger Enhancement Programs (TPEP/LPEP). The trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.
For more information please refer to http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml",5/1/23,1,20,0,2,583280181,,1/1/19,"lpep_pickup_datetime, lpep_dropoff_datetime",2019 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.470540262,0.349408453,0.522832169,0.145204775,0.431741779,0.552413666,-0.129088081,-0.168677023
19,"vendorid, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, ratecodeid, store_and_fwd_flag, pulocationid, dolocationid, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, improvement_surcharge, total_amount, congestion_surcharge",store_and_fwd_flag,"The yellow and green taxi trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab & Livery Passenger Enhancement Programs (TPEP/LPEP). The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.
For more information please refer to http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml",5/1/23,1,18,0,2,8197837930,,1/1/19,"tpep_pickup_datetime, tpep_dropoff_datetime",2019 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479902834,0.349419201,0.514078092,0.161520169,0.480882327,0.562000947,-0.125111939,-0.167654508
20,"vendorid, lpep_pickup_datetime, lpep_dropoff_datetime, store_and_fwd_flag, ratecodeid, pulocationid, dolocationid, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type, congestion_surcharge",store_and_fwd_flag,"These records are generated from the trip record submissions made by green taxi Technology Service Providers (TSPs). Each row represents a single trip in a green taxi in 2021. The trip records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts.",5/1/23,1,20,0,2,102329648,,1/1/19,"lpep_pickup_datetime, lpep_dropoff_datetime",2021 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51593065,0.347819921,0.562545166,0.479648054,0.397992893,0.54898263,-0.129088081,-0.168677023
21,"vendorid, tpep_pickup_datetime, tpep_dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, ratecodeid, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, total_amount, pickup_location, dropoff_location","vendorid, payment_type","Filter cards by selecting date ranges on date/time cards, typing freeform text into search cards, or clicking the columns in the column card. 

This dataset includes trip records from all trips completed in yellow taxis in NYC in 2009.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab Passenger Enhancement Program (TPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,2,20,6,2,5029388359,"pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude",1/1/19,"tpep_pickup_datetime, tpep_dropoff_datetime",2009 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.590863996,0.565613063,0.494382436,0.427858649,0.554144327,0.528351003,-0.112382654,-0.17293808
22,"vendorid, tpep_pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, ratecodeid, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, extra, mta_tax, tip_amount, tolls_amount, total_amount, pickup_location, dropoff_location","vendorid, store_and_fwd_flag, payment_type","Filter cards by selecting date ranges on date/time cards, typing freeform text into search cards, or clicking the columns in the column card. 

This dataset includes trip records from all trips completed in yellow taxis in NYC in 2010.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab Passenger Enhancement Program (TPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,3,20,4,2,309706823,"pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude",1/1/19,"tpep_pickup_datetime, dropoff_datetime",2010 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371852344,0.418371137,0.485816258,0.453459985,0.522001582,0.510891682,-0.078994683,-0.055389657
23,"vendor_id, pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, mta_tax, tip_amount, tolls_amount, total_amount, imp_surcharge, extra, rate_code","vendor_id, store_and_fwd_flag, payment_type","This dataset includes trip records from all trips completed in yellow taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab Passenger Enhancement Program (TPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data. 
Data Dictionary for this dataset can be found here:   
http://www.nyc.gov/html/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf",5/1/23,3,19,4,2,2148982855,"pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude",1/1/19,"pickup_datetime, dropoff_datetime",2014 Yellow Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549972604,0.643641581,0.323971224,0.256541709,0.539947813,0.742574562,-0.091006669,-0.13250985
